source_name,redcap_name
doxycycline_interpretation_raw,doxycycline_interpretation_raw
doxycycline_interpretation,doxycycline_interpretation
tetracycline_mic,tetracycline_mic
tetracycline_interpretation_raw,tetracycline_interpretation_raw
tetracycline_interpretation,tetracycline_interpretation
tigecycline_mic,tigecycline_mic
tigecycline_interpretation_raw,tigecycline_interpretation_raw
tigecycline_interpretation,tigecycline_interpretation
moxifloxacin_mic,moxifloxacin_mic
moxifloxacin_interpretation_raw,moxifloxacin_interpretation_raw
moxifloxacin_interpretation,moxifloxacin_interpretation
rifampicin_mic,rifampicin_mic
rifampicin_interpretation_raw,rifampicin_interpretation_raw
rifampicin_interpretation,rifampicin_interpretation
inducible_clindamycin_resistance_mic,inducible_clindamycin_resistance_mic
inducible_clindamycin_resistance_interpretation_raw,inducible_clindamycin_resistance_interpretation_raw
inducible_clindamycin_resistance_interpretation,inducible_clindamycin_resistance_interpretation
erythromycin_mic,erythromycin_mic
erythromycin_interpretation_raw,erythromycin_interpretation_raw
erythromycin_interpretation,erythromycin_interpretation
fluconazole_mic,fluconazole_mic
fluconazole_interpretation_raw,fluconazole_interpretation_raw
fluconazole_interpretation,fluconazole_interpretation
micafungin_mic,micafungin_mic
micafungin_interpretation_raw,micafungin_interpretation_raw
micafungin_interpretation,micafungin_interpretation
voriconazole_mic,voriconazole_mic
voriconazole_interpretation_raw,voriconazole_interpretation_raw
voriconazole_interpretation,voriconazole_interpretation
amphotericin_b_mic,amphotericin_b_mic
amphotericin_b_interpretation_raw,amphotericin_b_interpretation_raw
amphotericin_b_interpretation,amphotericin_b_interpretation
caspofungin_mic,caspofungin_mic
caspofungin_interpretation_raw,caspofungin_interpretation_raw
caspofungin_interpretation,caspofungin_interpretation
flucytosine_mic,flucytosine_mic
flucytosine_interpretation_raw,flucytosine_interpretation_raw
flucytosine_interpretation,flucytosine_interpretation
id_analysis_messages,id_analysis_messages
comments,comments
isolate_2,isolate_2
bench_2,bench_2
isolate_status_2,isolate_status_2
selected_organism_2,selected_organism_2
mcfarland_2,mcfarland_2
id_card_2,id_card_2
organism_origin_2,organism_origin_2
identified_organism_2,identified_organism_2
organism_probability_pct_2,organism_probability_pct_2
id_confidence_2,id_confidence_2
lab_id_2,lab_id_2
esbl_mic_2,esbl_mic_2
esbl_interpretation_raw_2,esbl_interpretation_raw_2
esbl_interpretation_2,esbl_interpretation_2
ertapenem_mic_2,ertapenem_mic_2
ertapenem_interpretation_raw_2,ertapenem_interpretation_raw_2
ertapenem_interpretation_2,ertapenem_interpretation_2
ampicillin_mic_2,ampicillin_mic_2
ampicillin_interpretation_raw_2,ampicillin_interpretation_raw_2
ampicillin_interpretation_2,ampicillin_interpretation_2
ampicillin_sulbactam_mic_2,ampicillin_sulbactam_mic_2
ampicillin_sulbactam_interpretation_raw_2,ampicillin_sulbactam_interpretation_raw_2
ampicillin_sulbactam_interpretation_2,ampicillin_sulbactam_interpretation_2
piperacillin_mic_2,piperacillin_mic_2
piperacillin_interpretation_raw_2,piperacillin_interpretation_raw_2
piperacillin_interpretation_2,piperacillin_interpretation_2
cefazolin_mic_2,cefazolin_mic_2
cefazolin_interpretation_raw_2,cefazolin_interpretation_raw_2
cefazolin_interpretation_2,cefazolin_interpretation_2
cefoxitin_mic_2,cefoxitin_mic_2
cefoxitin_interpretation_raw_2,cefoxitin_interpretation_raw_2
cefoxitin_interpretation_2,cefoxitin_interpretation_2
ceftazidime_mic_2,ceftazidime_mic_2
ceftazidime_interpretation_raw_2,ceftazidime_interpretation_raw_2
ceftazidime_interpretation_2,ceftazidime_interpretation_2
ceftriaxone_mic_2,ceftriaxone_mic_2
ceftriaxone_interpretation_raw_2,ceftriaxone_interpretation_raw_2
ceftriaxone_interpretation_2,ceftriaxone_interpretation_2
cefepime_mic_2,cefepime_mic_2
cefepime_interpretation_raw_2,cefepime_interpretation_raw_2
cefepime_interpretation_2,cefepime_interpretation_2
meropenem_mic_2,meropenem_mic_2
meropenem_interpretation_raw_2,meropenem_interpretation_raw_2
meropenem_interpretation_2,meropenem_interpretation_2
amikacin_mic_2,amikacin_mic_2
amikacin_interpretation_raw_2,amikacin_interpretation_raw_2
amikacin_interpretation_2,amikacin_interpretation_2
gentamicin_mic_2,gentamicin_mic_2
gentamicin_interpretation_raw_2,gentamicin_interpretation_raw_2
gentamicin_interpretation_2,gentamicin_interpretation_2
tobramycin_mic_2,tobramycin_mic_2
tobramycin_interpretation_raw_2,tobramycin_interpretation_raw_2
tobramycin_interpretation_2,tobramycin_interpretation_2
ciprofloxacin_mic_2,ciprofloxacin_mic_2
ciprofloxacin_interpretation_raw_2,ciprofloxacin_interpretation_raw_2
ciprofloxacin_interpretation_2,ciprofloxacin_interpretation_2
levofloxacin_mic_2,levofloxacin_mic_2
levofloxacin_interpretation_raw_2,levofloxacin_interpretation_raw_2
levofloxacin_interpretation_2,levofloxacin_interpretation_2
nitrofurantoin_mic_2,nitrofurantoin_mic_2
nitrofurantoin_interpretation_raw_2,nitrofurantoin_interpretation_raw_2
nitrofurantoin_interpretation_2,nitrofurantoin_interpretation_2
trimethoprim_sulfamethoxazole_mic_2,trimethoprim_sulfamethoxazole_mic_2
trimethoprim_sulfamethoxazole_interpretation_raw_2,trimethoprim_sulfamethoxazole_interpretation_raw_2
trimethoprim_sulfamethoxazole_interpretation_2,trimethoprim_sulfamethoxazole_interpretation_2
cefoxitin_screen_mic_2,cefoxitin_screen_mic_2
cefoxitin_screen_interpretation_raw_2,cefoxitin_screen_interpretation_raw_2
cefoxitin_screen_interpretation_2,cefoxitin_screen_interpretation_2
clindamycin_mic_2,clindamycin_mic_2
clindamycin_interpretation_raw_2,clindamycin_interpretation_raw_2
clindamycin_interpretation_2,clindamycin_interpretation_2
linezolid_mic_2,linezolid_mic_2
linezolid_interpretation_raw_2,linezolid_interpretation_raw_2
linezolid_interpretation_2,linezolid_interpretation_2
oxacillin_mic_2,oxacillin_mic_2
oxacillin_interpretation_raw_2,oxacillin_interpretation_raw_2
