parser_version,uploader_version,source_name,target_redcap_name,update_mode,key_field,notes
v1.0.0,v1.1.0,gentamicin_high_level_synergy_interpretation_raw,gentamicin_high_level_synergy_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,gentamicin_high_level_synergy_interpretation,gentamicin_high_level_synergy_interpretation,update,FALSE,
v1.0.0,v1.1.0,vancomycin_mic,vancomycin_mic,update,FALSE,
v1.0.0,v1.1.0,vancomycin_interpretation_raw,vancomycin_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,vancomycin_interpretation,vancomycin_interpretation,update,FALSE,
v1.0.0,v1.1.0,streptomycin_high_level_synergy_mic,streptomycin_high_level_synergy_mic,update,FALSE,
v1.0.0,v1.1.0,streptomycin_high_level_synergy_interpretation_raw,streptomycin_high_level_synergy_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,streptomycin_high_level_synergy_interpretation,streptomycin_high_level_synergy_interpretation,update,FALSE,
v1.0.0,v1.1.0,doxycycline_mic,doxycycline_mic,update,FALSE,
v1.0.0,v1.1.0,doxycycline_interpretation_raw,doxycycline_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,doxycycline_interpretation,doxycycline_interpretation,update,FALSE,
v1.0.0,v1.1.0,gentamicin_mic,gentamicin_mic,update,FALSE,
v1.0.0,v1.1.0,gentamicin_interpretation_raw,gentamicin_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,gentamicin_interpretation,gentamicin_interpretation,update,FALSE,
v1.0.0,v1.1.0,tetracycline_mic,tetracycline_mic,update,FALSE,
v1.0.0,v1.1.0,tetracycline_interpretation_raw,tetracycline_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,tetracycline_interpretation,tetracycline_interpretation,update,FALSE,
v1.0.0,v1.1.0,ciprofloxacin_mic,ciprofloxacin_mic,update,FALSE,
v1.0.0,v1.1.0,ciprofloxacin_interpretation_raw,ciprofloxacin_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,ciprofloxacin_interpretation,ciprofloxacin_interpretation,update,FALSE,
v1.0.0,v1.1.0,tigecycline_mic,tigecycline_mic,update,FALSE,
v1.0.0,v1.1.0,tigecycline_interpretation_raw,tigecycline_interpretation_raw,update,FALSE,
v1.0.0,v1.1.0,tigecycline_interpretation,tigecycline_interpretation,update,FALSE,
